Caste,Marks,Selection Percentage,Chance,School Type,Total Marks,Gender,Selection Chance,Result
EWS,509.0,61.43,Moderate Chance,Private,509.0,Male,Less Chance,Not Selected
SC,590.0,95.56,High Chance,Government,594.0,Male,High Chance,Selected
BCD,425.0,51.36,Less Chance,Private,427.0,Female,Less Chance,Not Selected
BCA,599.0,103.0,High Chance,Government,603.0,Male,High Chance,Selected
BCB,524.0,63.83,Moderate Chance,Government,528.0,Male,Less Chance,Not Selected
BCD,464.0,56.29,Less Chance,Government,468.0,Male,Less Chance,Not Selected
BCA,492.0,59.38,Less Chance,Private,492.0,Male,Less Chance,Not Selected
BCD,438.0,53.16,Less Chance,Government,442.0,Male,Less Chance,Not Selected
BCA,458.0,55.76,Less Chance,Government,462.0,Male,Less Chance,Not Selected
BCD,439.0,53.28,Less Chance,Government,443.0,Male,Less Chance,Not Selected
SC,477.0,58.52,Less Chance,Private,479.0,Female,Less Chance,Not Selected
BCB,505.0,61.54,Moderate Chance,Government,509.0,Male,Less Chance,Not Selected
BCD,555.0,67.47,Moderate Chance,Government,561.0,Female,Moderate Chance,Not Selected
BCB,503.0,61.3,Moderate Chance,Government,507.0,Male,Less Chance,Not Selected
BCA,426.0,51.66,Less Chance,Private,428.0,Female,Less Chance,Not Selected
BCA,579.0,83.0,Moderate Chance,Government,583.0,Male,High Chance,Selected
EWS,444.0,54.07,Less Chance,Government,448.0,Male,Less Chance,Not Selected
BCD,563.0,68.44,Moderate Chance,Government,569.0,Female,Moderate Chance,Not Selected
OC,574.0,69.28,Moderate Chance,Government,578.0,Male,Moderate Chance,Not Selected
BCB,509.0,62.02,Moderate Chance,Government,513.0,Male,Less Chance,Not Selected
ST,404.0,51.25,Less Chance,Government,410.0,Female,Less Chance,Not Selected
BCB,543.0,65.65,Moderate Chance,Private,543.0,Male,Less Chance,Not Selected
BCA,508.0,61.79,Moderate Chance,Government,512.0,Male,Less Chance,Not Selected
BCB,520.0,63.59,Moderate Chance,Government,526.0,Female,Less Chance,Not Selected
BCD,539.0,65.31,Moderate Chance,Government,543.0,Male,Less Chance,Not Selected
BCA,497.0,60.71,Less Chance,Government,503.0,Female,Less Chance,Not Selected
BCA,600.0,106.0,High Chance,Government,606.0,Female,High Chance,Selected
BCA,460.0,56.24,Less Chance,Government,466.0,Female,Less Chance,Not Selected
SC,427.0,52.9,Less Chance,Government,433.0,Female,Less Chance,Not Selected
EWS,498.0,60.83,Moderate Chance,Government,504.0,Female,Less Chance,Not Selected
OC,494.0,59.69,Less Chance,Government,498.0,Male,Less Chance,Not Selected
BCD,442.0,53.16,Less Chance,Private,442.0,Male,Less Chance,Not Selected
BCD,463.0,56.41,Less Chance,Government,469.0,Female,Less Chance,Not Selected
BCB,555.0,67.1,Moderate Chance,Private,555.0,Male,Moderate Chance,Not Selected
OC,536.0,64.73,Moderate Chance,Government,540.0,Male,Less Chance,Not Selected
BCD,466.0,56.77,Less Chance,Government,472.0,Female,Less Chance,Not Selected
BCD,554.0,67.35,Moderate Chance,Government,560.0,Female,Moderate Chance,Not Selected
BCD,568.0,68.56,Moderate Chance,Private,570.0,Female,Moderate Chance,Not Selected
BCD,426.0,51.72,Less Chance,Government,430.0,Male,Less Chance,Not Selected
BCD,454.0,55.09,Less Chance,Government,458.0,Male,Less Chance,Not Selected
BCD,401.0,48.95,Less Chance,Government,407.0,Female,Less Chance,Not Selected
BCD,530.0,64.23,Moderate Chance,Government,534.0,Male,Less Chance,Not Selected
BCD,569.0,68.92,Moderate Chance,Government,573.0,Male,Moderate Chance,Not Selected
BCD,462.0,56.05,Less Chance,Government,466.0,Male,Less Chance,Not Selected
BCA,439.0,53.22,Less Chance,Private,441.0,Female,Less Chance,Not Selected
BCD,490.0,59.42,Less Chance,Government,494.0,Male,Less Chance,Not Selected
BCD,448.0,54.36,Less Chance,Government,452.0,Male,Less Chance,Not Selected
BCD,555.0,67.23,Moderate Chance,Government,559.0,Male,Moderate Chance,Not Selected
BCD,505.0,61.46,Moderate Chance,Government,511.0,Female,Less Chance,Not Selected
BCD,416.0,50.52,Less Chance,Government,420.0,Male,Less Chance,Not Selected
BCD,571.0,69.4,Moderate Chance,Government,577.0,Female,Moderate Chance,Not Selected
BCD,600.0,106.67,High Chance,Government,606.0,Female,High Chance,Selected
BCD,449.0,54.48,Less Chance,Government,453.0,Male,Less Chance,Not Selected
